LoanNumber,LoanPhase,LoanProgram,LoanSubType,State,City,County,Zip,Sum of PropertyCount,Sum of UnitCount,Sum of Sqft,Sum of MedianSqft,Avg. Prop. Cost/Sqft
72126,Servicing,New Construction,Refi-External,California,Palm Desert,Riverside,92211,32,32,"43,214","43,214",$197.28
72125,Paid Off,New Construction,Refi-External,Texas,Josephine,Collin,75173,2,2,"3,700","3,700",$59.46
72124,Servicing,Fix and Flip,Purchase,Washington,Vancouver,Clark,98663,1,1,"1,632","1,632",$91.91
72122,Production,New Construction,Refi-External,Oregon,Oregon City,Clackamas,97045,1,3,"4,200","1,400",$136.48
72121,Paid Off,New Construction,Purchase,Idaho,Emmett,Gem,83617,1,1,"1,997","1,997",$147.72
72120,Paid Off,Fix and Flip,Purchase,Florida,West Palm Beach,Palm Beach,33407,1,1,"1,957","1,957",$162.98
72119,Servicing,New Construction,Refi-External,Florida,Indialantic,Brevard,32903,2,9,"23,094","5,132",$194.86
72117,Paid Off,New Construction,Refi-External,Colorado,Grand Junction,Mesa,81504,2,2,"2,941","2,941",$145.77
72116,Servicing,Multifamily,Refi-External,California,San Diego,San Diego,92115,2,29,"33,040","1,110",$402.75
72115,Production,New Construction,Refi-External,California,Scotts Valley,Santa Cruz,95066,1,1,"50,000","50,000",$30.00
72113,Servicing,New Construction,Refi-External,Oregon,Aloha,Washington,97078,3,3,"7,215","7,215",$143.98
72112,Production,New Construction,Refi-External,California,Joshua Tree,San Bernardino,92252,1,1,880,880,$397.73
72111,Servicing,New Construction,Refi-External,Texas,Dallas,Dallas,75209,1,1,"4,073","4,073",$102.70
72110,Production,New Construction,Purchase,Florida,Cape San Blas,Gulf,32456,1,1,"2,100","2,100",$204.86
72109,Paid Off,New Construction,Refi-External,Oregon,St Helens,Columbia,97051,2,2,"4,863","4,863",$136.07
72108,Paid Off,All In One,Refi-External,Idaho,Middleton,Canyon,83644,40,40,"98,794","98,794",$143.60
72107,Paid Off,New Construction,Refi-External,Idaho,Donnelly,Valley,83615,1,1,"1,716","1,716",$314.69
72105,Production,New Construction,Refi-External,California,Elk Grove,Sacramento,95757,1,55,"660,000","12,000",$2.73
72103,Servicing,All In One,Refi-External,Idaho,Nampa,Canyon,83680,6,6,"15,000","15,000",$960.00
72102,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"3,891","3,891",$181.06
72101,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"3,180","3,180",$299.15
72099,Paid Off,New Construction,Refi-External,Florida,Poinciana,Polk,34759,3,3,"5,358","5,358",$111.89
72098,Production,New Construction,Refi-External,Washington,Seattle,King,98119,1,13,"19,281","1,327",$640.80
72097,Servicing,New Construction,Purchase,Idaho,Star,Ada,83616,4,4,"12,720","12,720",$158.70
72096,Production,New Construction,Refi-External,South Dakota,Mitchell,Davison,57301,1,1,"1,600","1,600",$187.50
72095,Servicing,New Construction,Purchase,California,Ceres,Stanislaus,95307,13,41,"49,220","21,220",$162.76
72094,Paid Off,New Construction,Refi-External,Florida,Palm Bay,Brevard,32909,2,2,"4,008","4,008",$98.32
72093,Production,New Construction,Refi-External,Washington,Leavenworth,Chelan,98826,1,1,"1,700","1,700",$58.82
72091,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83642,1,1,"2,323","2,323",$169.16
72090,Servicing,New Construction,Refi-External,Georgia,Atlanta,Fulton,30311,1,1,"2,550","2,550",$133.65
72089,Servicing,New Construction,Refi-External,Michigan,Marquette,Marquette,49855,1,26,"43,390","1,394",$171.51
72088,Servicing,New Construction,Refi-External,Idaho,Garden City,Ada,83714,5,16,"22,328","4,546",$320.08
72087,Production,New Construction,Purchase,Texas,San Antonio,Bexar,78208,3,21,"31,010","4,040",$438.96
72084,Servicing,New Construction,Refi-External,Idaho,Driggs,Teton,83422,6,6,"22,282","22,282",$106.14
72083,Production,New Construction,Refi-External,Georgia,Athens,Clarke,30606,1,1,"2,768","2,768",$161.85
72082,Servicing,New Construction,Purchase,Idaho,Caldwell,Canyon,83607,1,1,"3,180","3,180",$182.23
72081,Production,New Construction,Refi-External,Florida,Palm Bay,Brevard,32907,2,2,"4,000","4,000",$120.00
72079,Production,New Construction,Purchase,Florida,Englewood,Charlotte,34224,1,1,"3,460","3,460",$90.03
72078,Production,New Construction,Refi-External,Florida,Port Charlotte,Charlotte,33981,1,1,"2,344","2,344",$374.22
72076,Servicing,New Construction,Refi-External,Utah,American Fork,Utah,84003,5,5,"90,000","90,000",$133.19
72072,Paid Off,New Construction,Refi-External,Florida,Tampa,Hillsborough,33614,2,20,"30,580","3,058",$7.48
72071,Production,New Construction,Refi-External,Massachusetts,Longmeadow,Hampden,01106,1,1,"2,260","2,260",$131.05
72068,Servicing,New Construction,Refi-External,California,Citrus Hts,Sacramento,95610,6,6,"10,548","10,548",$167.43
72066,Paid Off,New Construction,Refi-Internal,Colorado,Colorado Springs,El Paso,80918,2,2,"3,439","3,439",$153.17
72064,Servicing,New Construction,Purchase,Florida,Davie,Broward,33314,3,17,"22,880","2,860",$100.53
72062,Servicing,New Construction,Refi-External,Indiana,Merrillville,Lake,46410,1,26,"37,530","1,350",$141.22
72061,Production,New Construction,Refi-External,California,N Hollywood,Los Angeles,91601,2,4,"6,748","3,228",$361.01
72060,Servicing,New Construction,Purchase,Florida,Tampa,Hillsborough,33606,1,6,"19,200","3,200",$161.46
72059,Servicing,New Construction,Refi-External,Hawaii,Waimea,Abbeville,96743,4,17,"27,108","13,554",$651.35
72058,Production,New Construction,Purchase,Georgia,Atlanta,Fulton,30311,1,1,"3,636","3,636",$98.68
72057,Servicing,All In One,Refi-External,Georgia,Acworth,Cobb,30101,1,1,"3,350","3,350",$117.31
72056,Production,New Construction,Refi-External,Colorado,Englewood,Arapahoe,80113,2,2,"4,992","4,992",$360.26
72053,Servicing,New Construction,Refi-External,Oregon,Portland,Multnomah,97217,2,6,"9,453","3,151",$138.21
72051,Servicing,New Construction,Refi-External,California,Mill Valley,Marin,94941,11,13,"25,224","22,017",$471.70
72050,Paid Off,New Construction,Refi-External,Illinois,Oswego,Kendall,60543,3,3,"7,430","7,430",$88.83
72049,Servicing,All In One,Purchase,California,San Diego,San Diego,92102,12,12,"16,796","16,796",$182.76
72047,Servicing,New Construction,Refi-External,Florida,North Port,Sarasota,34286,10,10,"15,070","15,070",$127.57
72046,Production,New Construction,Refi-External,Oregon,Saint Helens,Columbia,97051,1,6,"8,172","1,362",$135.83
72045,Paid Off,New Construction,Refi-External,Colorado,Elizabeth,Elbert,80107,1,1,"3,241","3,241",$170.42
72044,Production,Fix and Flip,Purchase,Michigan,Detroit,Wayne,48221,1,1,"1,500","1,500",$21.80
72043,Production,Fix and Flip,Purchase,Michigan,Detroit,Wayne,48221,1,1,"2,171","2,171",$25.01
72042,Production,New Construction,Purchase,Texas,Dallas,Dallas,75209,1,1,"3,600","3,600",$125.00
72041,Production,New Construction,Purchase,Texas,Dallas,Dallas,75209,1,1,"3,600","3,600",$125.00
72039,Production,New Construction,Refi-External,Minnesota,Saint Paul,Ramsey,55106,1,1,"1,691","1,691",$118.27
72038,Paid Off,New Construction,Refi-Internal,Florida,Naples,Collier,34112,9,9,"21,600","21,600",$138.75
72037,Paid Off,New Construction,Refi-External,Texas,Lomax,Harris,77571,1,1,"1,690","1,690",$117.16
72036,Paid Off,New Construction,Refi-External,Texas,Lomax,Harris,77571,1,1,"1,690","1,690",$117.16
72035,Production,New Construction,Refi-External,Georgia,Jefferson,Jackson,30549,1,1,"4,086","4,086",$126.80
72034,Servicing,New Construction,Refi-External,Colorado,Winter Park,Grand,80482,2,14,"22,400","3,600",$236.61
72033,Production,All In One,Purchase,Utah,Provo,Utah,84601,10,10,"40,802","40,802",$763.61
72032,Production,New Construction,Refi-External,Texas,Houston,Harris,77051,3,6,"10,926","5,463",$205.93
72031,Servicing,New Construction,Refi-External,Texas,Houston,Harris,77028,2,2,"3,284","3,284",$92.72
72030,Production,Fix and Flip,Refi-External,Illinois,Chicago,Cook,60615,1,4,"7,600","1,900",$32.89
72025,Servicing,New Construction,Refi-External,Texas,El Paso,El Paso,79932,1,1,"2,850","2,850",$112.95
72024,Servicing,Multifamily,Refi-External,Washington,Woodinville,King,98072,1,9,"122,405","1,962",$28.92
72022,Production,New Construction,Purchase,Illinois,Chicago,Cook,60625,1,10,"17,200","1,525",$201.16
72020,Production,New Construction,Refi-External,Florida,Fort Myers,Lee,33901,1,109,"164,600",816,$244.48
72019,Production,New Construction,Refi-External,Minnesota,Saint Paul,Ramsey,55106,1,1,"1,691","1,691",$118.27
72018,Paid Off,New Construction,Purchase,Idaho,Caldwell,Canyon,83605,1,1,"1,600","1,600",$128.93
72017,Production,New Construction,Refi-Internal,Georgia,Marietta,Cobb,30062,5,5,"20,121","20,121",$79.11
72016,Servicing,New Construction,Refi-Internal,North Carolina,Charlotte,Mecklenburg,28226,4,16,"50,862","12,396",$88.31
72015,Paid Off,New Construction,Refi-External,Idaho,Meridian,Canyon,83687,1,1,"2,445","2,445",$133.28
72014,Production,New Construction,Refi-External,California,Oakland,Alameda,94608,1,39,"32,700",780,$290.62
72013,Paid Off,New Construction,Refi-External,Illinois,Robbins,Cook,60472,4,4,"4,399","4,399",$88.17
72012,Production,Fix and Flip,Purchase,Illinois,Chicago,Cook,60636,1,8,"6,800",750,$36.76
72010,Production,All In One,Refi-External,Nevada,88,Storey,89440,2,66,"25,288",692,$519.18
72006,Production,Fix and Flip,Refi-External,Illinois,Chicago,Cook,60621,1,4,"4,816","1,204",$42.42
72005,Servicing,New Construction,Refi-External,Washington,Tumwater,Thurston,98501,11,11,"29,236","29,236",$141.60
72004,Servicing,New Construction,Refi-External,California,Laguna Niguel,Orange,92677,1,1,"4,650","4,650",$338.71
72002,Production,New Construction,Refi-External,Pennsylvania,Philadelphia,Philadelphia,19125,1,1,"2,400","2,400",$104.17
72000,Paid Off,New Construction,Refi-External,Colorado,Woodland Park,Teller,80863,4,8,"13,280","6,640",$154.94
71998,Servicing,All In One,Refi-External,Oklahoma,Kingston,Marshall,73439,15,15,"50,520","50,520",$179.33
71997,Production,New Construction,Refi-Internal,Idaho,Garden City,Ada,83714,3,15,"25,379","5,032",$238.44
71996,Production,New Construction,Refi-External,Florida,St Petersburg,Pinellas,33703,2,2,"5,262","5,262",$142.82
71994,Paid Off,New Construction,Refi-External,Florida,Stuart,Martin,34997,1,1,"1,623","1,623",$113.99
71993,Production,New Construction,Refi-External,Arizona,Bullhead City,Mohave,86442,7,22,"27,500","8,750",$924.00
71991,Production,New Construction,Purchase,Indiana,Indianapolis,Marion,46203,1,1,"3,000","3,000",$75.00
71989,Servicing,New Construction,Refi-External,Hawaii,Waimea,Abbeville,96743,6,18,"13,322","13,310",$801.17
71988,Servicing,New Construction,Refi-External,Florida,St Augustine,Saint Johns,32080,1,1,"8,175","8,175",$199.45
71987,Paid Off,New Construction,Refi-External,Georgia,Atlanta,Fulton,30315,1,1,"2,000","2,000",$126.00
71986,Paid Off,Fix and Flip,Refi-External,Florida,Miami,Miami-Dade,33143,1,1,"4,229","4,229",$254.51
71985,Production,Fix and Flip,Purchase,Oregon,Newberg,Yamhill,97132,1,2,"2,760","1,380",$106.69
71984,Production,New Construction,Refi-External,Oregon,Manzanita,Tillamook,97130,1,1,"2,000","2,000",$110.00
71981,Paid Off,New Construction,Unknown,North Carolina,Carrboro,Orange,27510,1,1,"3,100","3,100",$153.50
71980,Production,New Construction,Refi-External,Texas,Whitney,Hill,76692,1,1,"1,800","1,800",$130.36
71976,Production,Fix and Flip,Purchase,Washington,Seattle,King,98107,1,1,"3,980","3,980",$6.28
71975,Production,All In One,Purchase,Idaho,Eagle,Ada,83616,21,21,"65,099","65,099",$124.28
71973,Production,Fix and Flip,Refi-External,Washington,Seattle,King,98126,1,1,"2,996","2,996",$170.15
71971,Production,New Construction,Purchase,Texas,Nevada,Collin,75173,5,5,"14,414","14,414",$93.49
71969,Production,New Construction,Refi-External,Idaho,Boise,Ada,83716,17,17,"39,780","39,780",$109.17
71968,Servicing,New Construction,Refi-External,Texas,Austin,Travis,78702,2,2,"4,109","4,109",$200.38
71967,Servicing,All In One,Refi-External,Ohio,Liberty Twp,Butler,45044,16,16,"48,000","48,000",$110.11
71966,Paid Off,New Construction,Refi-External,Washington,Bremerton,Kitsap,98311,6,12,"20,216","9,458",$123.32
71965,Servicing,Fix and Flip,Purchase,Georgia,Atl,Fulton,30314,4,4,"6,850","6,850",$64.45
71964,Servicing,New Construction,Refi-External,Colorado,Cherry Hills,Arapahoe,80121,1,1,"6,626","6,626",$233.93
71963,Servicing,New Construction,Refi-External,Florida,Hutchinson Island,Saint Lucie,34949,2,21,"34,119","3,259",$261.45
71962,Paid Off,New Construction,Refi-External,Ohio,Columbus,Franklin,43206,1,1,"1,800","1,800",$125.00
71961,Paid Off,Fix and Flip,Purchase,South Carolina,Lexington,Lexington,29072,1,1,"4,245","4,245",$9.63
71959,Servicing,New Construction,Refi-External,Utah,Heber City,Wasatch,84032,1,1,"5,420","5,420",$279.35
71958,Servicing,New Construction,Refi-External,California,Citrus Hts,Sacramento,95610,6,6,"9,516","9,516",$166.02
71957,Production,New Construction,Refi-External,Washington,Seattle,King,98199,3,9,"13,280","4,756",$960.00
71956,Paid Off,New Construction,Refi-External,Utah,Heber City,Wasatch,84032,1,1,"5,216","5,216",$278.74
71954,Servicing,New Construction,Refi-External,California,San Mateo,San Mateo,94401,1,15,"22,500","1,500",$466.14
71952,Servicing,Fix and Flip,Purchase,Florida,Tampa,Hillsborough,33605,2,2,"1,412","1,412",$22.52
71951,Servicing,New Construction,Refi-External,Texas,Fort Worth,Tarrant,76107,2,14,"14,962","2,112",$200.51
71950,Paid Off,Fix and Flip,Purchase,Utah,Park City,Summit,84098,1,1,"2,643","2,643",$94.59
71949,Servicing,New Construction,Refi-External,California,Livermore,Alameda,94551,17,17,"32,139","32,139",$311.54
71947,Paid Off,New Construction,Refi-Internal,Washington,Monroe,Snohomish,98272,38,38,"129,687","129,687",$207.46
71946,Servicing,New Construction,Refi-External,Texas,Dallas,Dallas,75208,1,4,"7,872","1,968",$111.79
71944,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"3,646","3,646",$157.11
71943,Servicing,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"3,646","3,646",$157.11
71942,Paid Off,New Construction,Refi-External,Utah,Center Creek,Wasatch,84032,7,32,"53,262","11,587",$285.68
71940,Paid Off,New Construction,Purchase,Colorado,Elbert,El Paso,80106,1,1,"6,040","6,040",$136.67
71939,Servicing,New Construction,Purchase,Colorado,Colorado Springs,El Paso,80908,1,1,"5,209","5,209",$158.47
71938,Paid Off,New Construction,Purchase,Colorado,Elbert,El Paso,80106,1,1,"4,578","4,578",$149.48
71937,Paid Off,New Construction,Purchase,Colorado,Elbert,El Paso,80106,1,1,"4,852","4,852",$168.41
71936,Paid Off,New Construction,Refi-External,Idaho,Eagle,Ada,83616,6,6,"63,000","63,000",$85.02
71935,Servicing,New Construction,Purchase,California,San Juan Capistrano,Orange,92675,1,1,"4,050","4,050",$298.82
71934,Paid Off,New Construction,Purchase,Montana,Turah,Missoula,59825,3,3,"5,498","5,498",$107.94
71932,Servicing,All In One,Refi-External,Idaho,Boise,Ada,83703,12,12,"19,513","19,513",$118.78
71930,Paid Off,Fix and Flip,Purchase,California,Los Angeles,Los Angeles,90046,1,1,"2,355","2,355",$127.39
71929,Production,Fix and Flip,Refi-External,Michigan,Detroit,Wayne,48224,7,7,"8,474","8,474",$48.92
71928,Paid Off,New Construction,Purchase,Colorado,Aurora,Arapahoe,80016,4,20,"26,830","4,876",$132.00
71927,Servicing,New Construction,Refi-External,Texas,Ennis,Ellis,75119,2,2,"10,845","10,845",$100.92
71926,Paid Off,New Construction,Refi-External,Florida,Poinciana,Polk,34759,7,7,"12,348","12,348",$66.80
71925,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83642,5,5,"10,656","10,656",$119.06
71924,Paid Off,New Construction,Refi-External,Delaware,Dover,Kent,19904,1,3,"677,199","225,733",$1.49
71923,Paid Off,New Construction,Refi-External,California,Woodland Hills,Los Angeles,91367,1,1,"2,800","2,800",$218.77
71922,Servicing,Fix and Flip,Purchase,Georgia,East Point,Fulton,30344,1,1,"1,754","1,754",$43.22
71921,Paid Off,Fix and Flip,Purchase,North Carolina,Hendersonville,Henderson,28792,1,1,"1,523","1,523",$39.40
71920,Paid Off,Fix and Flip,Purchase,Kansas,Overland,Johnson,66221,1,1,"3,971","3,971",$7.58
71919,Servicing,New Construction,Refi-External,Utah,Moab,Grand,84532,2,47,"29,605","1,097",$164.02
71918,Production,New Construction,Refi-External,California,Ceres,Stanislaus,95307,12,12,"19,728","19,728",$148.25
71917,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83642,3,3,"5,432","5,432",$179.80
71916,Servicing,New Construction,Refi-External,California,Hollywood,Los Angeles,90068,2,3,"6,640","4,540",$344.38
71915,Paid Off,All In One,Refi-External,Texas,Nevada,Collin,75173,20,20,"59,013","59,013",$92.64
71913,Paid Off,New Construction,Purchase,North Carolina,Charlotte,Mecklenburg,28208,1,4,"6,888","1,722",$130.18
71912,Paid Off,New Construction,Refi-External,Oregon,Philomath,Benton,97370,6,6,"11,322","11,322",$98.83
71911,Paid Off,New Construction,Refi-External,Washington,Seattle,King,98108,2,6,"8,209","2,666",$247.11
71910,Paid Off,New Construction,Refi-External,Arizona,Cave Creek,Maricopa,85331,1,1,"4,350","4,350",$218.20
71909,Paid Off,New Construction,Refi-External,Utah,Tremonton,Box Elder,84337,6,6,"21,600","21,600",$79.86
71908,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83642,1,1,"4,333","4,333",$150.05
71907,Servicing,New Construction,Refi-External,Utah,Draper,Salt Lake,84020,8,8,"16,236","16,236",$330.39
71906,Servicing,New Construction,Purchase,Texas,Dallas,Dallas,75229,1,1,"4,856","4,856",$158.57
71905,Paid Off,New Construction,Refi-External,Utah,West Jordan,Salt Lake,84084,3,6,"9,252","4,626",$193.77
71904,Paid Off,New Construction,Purchase,Idaho,Caldwell,Canyon,83605,3,3,"6,353","6,353",$121.19
71903,Servicing,Multifamily,Purchase,Colorado,Denver,Denver,80211,1,1,"13,767","13,767",$364.64
71902,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"2,892","2,892",$300.66
71901,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"2,935","2,935",$300.44
71900,Paid Off,New Construction,Purchase,Washington,Camano Island,Island,98282,3,3,"7,407","7,407",$164.97
71899,Paid Off,New Construction,Purchase,Montana,Missoula,Missoula,59802,5,5,"8,387","8,387",$112.32
71898,Paid Off,All In One,Refi-External,Georgia,Decatur,DeKalb,30032,3,17,"39,831","7,029",$110.93
71897,Servicing,New Construction,Refi-External,Illinois,Morton Grove,Cook,60053,11,11,"13,387","13,387",$606.97
71896,Paid Off,New Construction,Refi-External,Oregon,St Helens,Columbia,97051,2,2,"4,995","4,995",$128.25
71895,Servicing,All In One,Unknown,California,Yuba City,Sutter,95993,3,3,"4,418","4,418",$182.05
71893,Servicing,New Construction,Refi-External,Florida,Ocala,Marion,34473,7,7,"9,597","9,597",$76.75
71892,Servicing,New Construction,Refi-External,Illinois,Chicago,Cook,60659,2,15,"34,200","3,440",$124.68
71891,Paid Off,New Construction,Purchase,Florida,Orlando,Orange,32833,1,1,"3,553","3,553",$95.29
71890,Servicing,Construction,Refi-External,Arizona,Phoenix,Maricopa,85004,4,20,"42,610","8,408",$170.91
71889,Paid Off,New Construction,Unknown,Colorado,Colo Spgs,El Paso,80918,1,1,"4,628","4,628",$151.83
71888,Paid Off,New Construction,Unknown,Texas,Greenville,Hunt,75401,3,10,"20,930","6,279",$68.80
71887,Servicing,New Construction,Refi-External,South Carolina,Murrells Inlet,Horry,29576,1,12,"21,708","1,802",$67.71
71886,Paid Off,New Construction,Refi-External,Idaho,Emmett,Gem,83617,5,5,"11,100","11,100",$111.67
71885,Servicing,New Construction,Refi-External,California,Citrus Heights,Sacramento,95621,6,6,"10,492","10,492",$160.36
71884,Paid Off,New Construction,Unknown,Illinois,Oswego,Kendall,60543,2,2,"4,930","4,930",$88.40
71883,Servicing,New Construction,Refi-External,Washington,Seattle,King,98117,1,5,"6,314","1,230",$197.97
71882,Paid Off,New Construction,Refi-External,Washington,Long Beach,Pacific,98631,1,1,"2,600","2,600",$112.73
71881,Servicing,All In One,Refi-External,Florida,Kissimmee,Osceola,34746,8,46,"76,800","13,280",$73.22
71880,Servicing,New Construction,Refi-External,Colorado,Denver,Denver,80204,1,126,"168,912",605,$172.17
71878,Paid Off,All In One,Refi-External,Washington,Arlington,Snohomish,98223,7,7,"15,368","15,368",$195.84
71877,Paid Off,New Construction,Unknown,Washington,Kirkland,King,98034,1,1,"4,372","4,372",$159.82
71875,Paid Off,All In One,Purchase,Idaho,Garden City,Ada,83714,6,6,"15,849","15,849",$144.46
71874,Paid Off,New Construction,Unknown,Washington,Des Moines,King,98198,1,1,"3,757","3,757",$214.27
71873,Servicing,New Construction,Refi-External,Washington,Seattle,King,98118,1,6,"11,485","1,845",$102.31
71872,Production,New Construction,Refi-External,Georgia,Decatur,DeKalb,30034,3,23,"45,339","5,905",$115.61
71871,Servicing,New Construction,Unknown,Texas,Dallas,Dallas,75206,1,1,"4,200","4,200",$71.43
71870,Servicing,Fix and Flip,Purchase,Florida,Kissimmee,Osceola,34746,1,1,"2,893","2,893",$16.06
71869,Production,Construction,Refi-External,Tennessee,Nashville,Davidson,37208,2,2,"4,013","4,013",$129.59
71868,Servicing,New Construction,Refi-External,Texas,Spring,Harris,77379,5,12,"11,736","5,868",$82.31
71867,Production,New Construction,Refi-External,Florida,Gainesville,Alachua,32608,2,11,"20,268","3,306",$199.65
71866,Paid Off,New Construction,Purchase,Idaho,Caldwell,Canyon,83605,4,4,"8,281","8,281",$120.81
71865,Paid Off,All In One,Unknown,Oregon,Veneta,Lane,97487,10,10,"21,520","21,520",$135.85
71863,Servicing,New Construction,Refi-External,California,Escondido,San Diego,92026,8,8,"26,334","26,334",$235.83
71862,Paid Off,New Construction,Refi-External,Oregon,Saint Helens,Columbia,97051,2,2,"5,153","5,153",$128.86
71861,Servicing,All In One,Refi-External,California,Galt,Sacramento,95632,40,40,"66,000","66,000",$143.23
71860,Servicing,New Construction,Refi-External,New Mexico,Santa Fe,Santa Fe,87506,1,1,"3,066","3,066",$275.28
71859,Production,All In One,Refi-External,Washington,Lynnwood,Snohomish,98087,3,3,"9,030","9,030",$216.45
71858,Paid Off,New Construction,Unknown,Oregon,Bend,Deschutes,97701,2,11,"17,478","3,082",$116.90
71857,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83646,1,1,"2,048","2,048",$138.58
71856,Paid Off,New Construction,Purchase,Montana,Missoula,Missoula,59802,5,5,"9,184","9,184",$95.54
71855,Paid Off,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80016,2,10,"13,415","2,438",$130.16
71854,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83651,3,3,"9,178","9,178",$121.86
71852,Servicing,New Construction,Refi-External,Texas,Ennis,Ellis,75119,7,7,"15,959","15,959",$93.75
71851,Paid Off,New Construction,Purchase,Idaho,Eagle,Ada,83616,1,1,"2,695","2,695",$147.73
71850,Paid Off,New Construction,Refi-External,Idaho,Boise,Ada,83703,2,2,"5,245","5,245",$98.77
71849,Paid Off,New Construction,Purchase,Georgia,Suwanee,Gwinnett,30024,3,13,"28,225","6,425",$98.69
71848,Servicing,All In One,Refi-External,Florida,Palm Bay,Brevard,32908,6,48,"65,712","8,214",$70.73
71847,Paid Off,New Construction,Refi-Internal,Idaho,Eagle,Ada,83616,19,19,"43,352","43,352",$139.53
71846,Paid Off,New Construction,Refi-Internal,Idaho,Eagle,Ada,83616,7,7,"17,114","17,114",$80.63
71845,Servicing,New Construction,Refi-External,Florida,Ocala,Marion,34473,10,10,"13,710","13,710",$76.73
71844,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,1,1,"1,905","1,905",$135.03
71843,Paid Off,New Construction,Purchase,Texas,Houston,Harris,77018,2,2,"3,332","3,332",$115.03
71842,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83642,5,5,"11,259","11,259",$124.54
71841,Paid Off,New Construction,Purchase,Idaho,Boise,Ada,83703,6,6,"18,171","18,171",$156.82
71840,Production,New Construction,Purchase,Washington,Renton,King,98056,4,15,"27,078","6,980",$76.65
71839,Servicing,New Construction,Refi-External,North Carolina,Gastonia,Gaston,28054,3,3,"3,462","3,462",$80.67
71836,Paid Off,New Construction,Refi-External,Washington,Sequim,Clallam,98382,1,2,"4,391","2,007",$138.41
71835,Paid Off,New Construction,Purchase,Idaho,Eagle,Ada,83616,1,1,"2,976","2,976",$135.08
71834,Servicing,New Construction,Purchase,Idaho,Eagle,Ada,83646,4,4,"12,759","12,759",$149.60
71833,Servicing,New Construction,Refi-External,Colorado,Denver,Denver,80218,1,40,"38,966",814,$356.29
71832,Paid Off,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80016,5,25,"33,632","6,063",$124.71
71831,Production,New Construction,Refi-External,Florida,Poinciana,Polk,34759,5,5,"8,820","8,820",$89.51
71830,Paid Off,New Construction,Refi-Internal,Washington,Bremerton,Kitsap,98311,4,8,"14,000","6,480",$119.72
71828,Production,New Construction,Refi-External,Georgia,Woodstock,Cherokee,30188,3,3,"9,189","9,189",$133.29
71827,Paid Off,New Construction,Refi-External,Idaho,Boise,Ada,83703,9,9,"12,015","12,015",$119.85
71826,Paid Off,New Construction,Refi-Internal,Oregon,Philomath,Benton,97370,7,7,"13,758","13,758",$90.45
71825,Production,All In One,Refi-External,Texas,Boerne,Kendall,78006,5,5,"6,583","6,583",$156.97
71824,Paid Off,New Construction,Refi-Internal,Oregon,Bend,Deschutes,97703,6,6,"5,460","5,460",$346.88
71823,Paid Off,New Construction,Refi-External,Oregon,St Helens,Columbia,97051,1,1,"2,372","2,372",$103.29
71822,Servicing,New Construction,Purchase,Idaho,Boise,Ada,83712,1,1,"3,609","3,609",$188.04
71821,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,3,3,"8,389","8,389",$120.36
71820,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,7,7,"22,488","22,488",$142.07
71819,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83646,1,1,"4,530","4,530",$156.85
71818,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83646,1,1,"3,624","3,624",$152.81
71817,Paid Off,New Construction,Refi-External,Texas,Joshua,Johnson,76058,5,5,"10,401","10,401",$86.03
71816,Paid Off,New Construction,Refi-External,Washington,West Richland,Benton,99353,1,1,"2,321","2,321",$114.86
71815,Paid Off,New Construction,Refi-External,Washington,West Richland,Benton,99353,1,1,"2,204","2,204",$117.11
71814,Paid Off,New Construction,Refi-External,Washington,Kennewick,Benton,99337,1,1,"1,494","1,494",$109.64
71813,Paid Off,New Construction,Refi-Internal,Idaho,Boise,Ada,83702,1,1,"3,022","3,022",$212.48
71812,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"2,956","2,956",$269.96
71810,Paid Off,New Construction,Refi-Internal,Washington,Federal Way,King,98003,2,2,"7,418","7,418",$90.19
71809,Paid Off,New Construction,Refi-External,Florida,Ocala,Marion,34473,10,10,"13,710","13,710",$64.55
71808,Servicing,New Construction,Refi-External,Georgia,Atlanta,DeKalb,30317,1,61,"59,135",722,$228.29
71807,Paid Off,All In One,Refi-Internal,Colorado,Colorado Springs,El Paso,80922,20,20,"44,696","44,696",$99.29
