LoanNumber,LoanPhase,LoanProgram,LoanSubType,State,City,County,Zip,Sum of PropertyCount,Sum of UnitCount,Sum of Sqft,Sum of MedianSqft,Avg. Prop. Cost/Sqft
72446,Production,Fix and Flip,Purchase,Florida,St Petersburg,Pinellas,33713,1,1,932,932,$85.84
72445,Production,New Construction,Refi-External,Michigan,Redford Twp,Wayne,48239,1,3,"5,048","1,653",$89.14
72441,Production,New Construction,Refi-External,Arizona,Payson,Gila,85541,3,3,"1,344","1,344",$669.64
72438,Servicing,New Construction,Refi-External,Florida,Lehigh Acres,Lee,33971,5,10,"16,000","8,000",$72.81
72436,Production,New Construction,Purchase,Washington,Edmonds,King,98028,4,4,"21,049","21,049",$638.12
72434,Production,New Construction,Refi-External,Texas,Houston,Harris,77007,3,3,"8,511","8,511",$634.47
72433,Servicing,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80016,4,20,"20,192","3,661",$153.72
72432,Servicing,New Construction,Refi-External,Washington,Sammamish,King,98074,1,1,"4,427","4,427",$214.59
72430,Servicing,New Construction,Refi-External,District of Columbia,Washington,District of Columbia,20018,1,26,"23,924",653,$256.95
72426,Servicing,New Construction,Refi-External,Florida,Windermere,Orange,34786,3,17,"39,695","7,005",$104.38
72425,Production,Multifamily,Refi-External,California,Merced,Merced,95348,9,9,"140,616","140,616",$101.02
72416,Servicing,New Construction,Refi-External,Texas,Rowlett,Dallas,75088,5,5,"10,956","10,956",$121.41
72414,Production,New Construction,Refi-External,Washington,Mercer Island,King,98040,1,1,"3,965","3,965",$362.18
72411,Servicing,New Construction,Purchase,North Carolina,Charlotte,Mecklenburg,28270,2,2,"6,400","6,400",$161.25
72409,Production,New Construction,Purchase,North Carolina,Carolina Shores,Brunswick,28467,1,1,"1,598","1,598",$115.77
72407,Servicing,Fix and Flip,Purchase,North Carolina,Chapel Hill,Orange,27517,1,1,"5,440","5,440",$70.91
72404,Production,New Construction,Purchase,North Carolina,Charlotte,Mecklenburg,28216,1,1,"2,000","2,000",$125.00
72403,Servicing,New Construction,Refi-External,Hawaii,Keaau,Hawaii,96749,1,1,"1,824","1,824",$164.47
72401,Servicing,Bridge to Build,Purchase,Florida,Winter Park,Orange,32789,1,1,"8,000","8,000",$187.50
72399,Production,Fix and Flip,Purchase,California,San Diego,San Diego,92115,1,1,"15,003","15,003",$20.00
72398,Production,New Construction,Refi-External,Utah,Midway,Wasatch,84049,1,1,"4,071","4,071",$294.77
72396,Servicing,New Construction,Purchase,Oregon,Silverton,Marion,97381,4,4,"9,630","9,630",$107.40
72395,Servicing,Multifamily,Refi-External,Idaho,Idaho Falls,Bonneville,83404,3,3,"82,683","82,683",$148.02
72394,Paid Off,Fix and Flip,Purchase,Florida,Gulf Stream,Palm Beach,33483,1,1,"1,202","1,202",$12.48
72393,Servicing,Fix and Flip,Refi-External,Washington,Spokane,Spokane,99201,1,3,"4,200",850,$123.81
72392,Production,New Construction,Refi-External,Texas,Greenville,Hunt,75401,4,4,"8,560","8,560",$269.16
72391,Production,New Construction,Refi-External,Florida,Fort Pierce,Saint Lucie,34949,5,5,"18,477","18,477",$751.31
72390,Paid Off,New Construction,Refi-External,Georgia,Atlanta,Fulton,30318,1,1,"3,882","3,882",$103.38
72388,Servicing,New Construction,Refi-External,Oregon,Portland,Multnomah,97217,1,1,"2,897","2,897",$108.42
72386,Production,Fix and Flip,Purchase,Florida,Nokomis,Sarasota,34275,1,1,"2,656","2,656",$225.90
72385,Servicing,New Construction,Purchase,Colorado,Sedalia,Douglas,80135,1,1,"5,500","5,500",$204.13
72384,Servicing,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"3,400","3,400",$307.57
72381,Servicing,New Construction,Refi-External,Florida,Marathon,Monroe,33050,1,1,"3,000","3,000",$431.23
72380,Paid Off,New Construction,Refi-External,Colorado,Salida,Chaffee,81201,1,38,"29,891",609,$240.71
72378,Paid Off,Fix and Flip,Purchase,North Carolina,Hope Mills,Cumberland,28348,1,1,"1,780","1,780",$11.24
72375,Servicing,New Construction,Refi-External,Florida,Ocklawaha,Marion,32179,3,3,"5,640","5,640",$69.69
72374,Servicing,New Construction,Refi-External,Florida,Ocala,Marion,34473,5,5,"9,400","9,400",$69.76
72373,Servicing,New Construction,Refi-External,Florida,Dunnellon,Marion,34431,5,5,"9,400","9,400",$69.76
72372,Servicing,New Construction,Refi-External,Florida,Dunnellon,Marion,34431,5,5,"9,400","9,400",$69.76
72371,Servicing,New Construction,Refi-External,Florida,Auburndale,Polk,33823,1,1,"2,173","2,173",$108.09
72369,Production,New Construction,Refi-External,Idaho,Sandpoint,Bonner,83864,3,6,"12,360","6,180",$748.81
72366,Servicing,New Construction,Refi-External,Washington,Kennewick,Benton,99338,12,12,"28,297","28,297",$172.67
72365,Production,New Construction,Refi-External,Colorado,Parker,Douglas,80134,2,36,"41,730","2,135",$182.89
72364,Production,New Construction,Refi-External,Florida,Cape Coral,Lee,33993,4,4,"9,444","9,444",$129.99
72362,Paid Off,Fix and Flip,Purchase,Florida,Jacksonville,Duval,32207,1,1,"4,300","4,300",$58.14
72361,Servicing,New Construction,Refi-External,California,San Dimas,Los Angeles,91773,6,6,"20,324","20,324",$237.88
72359,Servicing,New Construction,Refi-External,Washington,Bothell,King,98011,1,1,"3,465","3,465",$262.12
72357,Servicing,All In One,Refi-External,Utah,West Haven,Weber,84401,16,94,"58,246","12,714",$107.37
72355,Servicing,New Construction,Refi-External,Oregon,Lake Grove,Clackamas,97034,1,15,"25,615","1,488",$374.36
72354,Paid Off,New Construction,Refi-External,North Carolina,Hampstead,Pender,28443,3,3,"5,528","5,528",$97.71
72353,Servicing,New Construction,Refi-External,Massachusetts,Boston,Suffolk,02128,1,3,"4,654","1,108",$291.30
72350,Production,New Construction,Purchase,Washington,Camano Island,Island,98282,1,1,"1,548","1,548",$193.80
72349,Production,New Construction,Refi-External,Florida,Summerland Key,Monroe,33042,1,1,"2,398","2,398",$308.19
72348,Servicing,All In One,Purchase,California,San Jose,Santa Clara,95120,5,5,"16,642","16,642",$358.13
72343,Servicing,Bridge to Build,Refi-External,Oregon,Mountain Park,Clackamas,97035,2,2,"5,271","5,271",$239.32
72342,Paid Off,New Construction,Refi-External,Florida,Leesburg,Lake,34788,2,2,"4,036","4,036",$98.11
72340,Production,New Construction,Refi-External,Florida,North Miami,Miami-Dade,33161,1,2,"2,400","1,200",$171.21
72339,Production,New Construction,Refi-External,Texas,Angleton,Brazoria,77515,2,2,"4,360","4,360",$239.01
72338,Paid Off,Fix and Flip,Purchase,Florida,Orlando,Orange,32825,1,1,"1,584","1,584",$13.79
72336,Production,New Construction,Refi-External,Utah,Salt Lake City,Salt Lake,84106,1,118,"123,879",744,$291.55
72335,Servicing,New Construction,Refi-External,California,Chiriaco Summit,Riverside,92201,12,12,"36,308","36,308",$300.75
72332,Servicing,New Construction,Refi-External,North Carolina,Charlotte,Mecklenburg,28209,1,1,"2,182","2,182",$131.04
72330,Paid Off,New Construction,Refi-External,Utah,Draper,Salt Lake,84020,1,1,"2,039","2,039",$167.36
72329,Production,Bridge,Purchase,Oregon,Portland,Multnomah,97213,1,1,"2,896","2,896",$5.18
72327,Paid Off,Fix and Flip,Purchase,Virginia,Manassas,Prince William,20111,1,1,"1,672","1,672",$5.98
72326,Servicing,Multifamily,Refi-External,Oregon,Portland,Multnomah,97227,1,1,"66,378","66,378",$556.53
72324,Servicing,Multifamily,Refi-External,Pennsylvania,Reading,Berks,19610,1,1,"10,000","10,000",$254.60
72323,Servicing,Multifamily,Refi-External,Florida,Orange Springs,Marion,32182,1,1,"115,500","115,500",$31.43
72321,Servicing,Multifamily,Refi-External,Georgia,Marietta,Cobb,30067,1,1,"74,900","74,900",$29.11
72320,Servicing,New Construction,Purchase,Texas,Taylor Lake Village,Harris,77586,1,12,"18,000","1,250",$133.33
72318,Servicing,New Construction,Refi-External,Washington,Beacon Hill,King,98144,1,7,"11,170","1,550",$95.94
